Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10p,
J1,smd_wire_pad_2.5x5mm,1,IN+,
J2,smd_wire_pad_2.5x5mm,1,IN-,
J3,smd_wire_pad_2.5x5mm,1,VCC,
J4,smd_wire_pad_2.5x5mm,1,VEE,
J5,smd_wire_pad_2.5x5mm,1,OUT,
J6,smd_wire_pad_2.5x5mm,1,GND,
"Q1, Q4, Q5",SOT-363_SC-70-6,3,MMDT5401,
"Q11, Q8",SOT-223,2,PZTA42-QX,
"Q12, Q7",SOT-223,2,PZTA92-QX,
Q13,TO-252-2,1,MJD31CG,
Q14,TO-252-2,1,MJD32CG,
"Q2, Q3, Q6",SOT-363_SC-70-6,3,MMDT5551,
R1,0805,1,330k,
"R2, R3",0805,2,47R,
R4,0805,1,470R,
"R5, R6",2512,2,100m,
"RN1, RN2",R_Array_Convex_4x1206,2,4x560R,
RV1,G32A_SMD_trimpot,1,1k,
